N_hat,N_sd,T_hat,T_sd,R_hat,R_sd,pub_id,date,year
0.20933109149859644,0.10003244094913852,0.22495909993150662,0.09277661349281,-0.01562800843291018,0.09640452722097426,p196,2001-12-01,2001
0.20411282680876713,0.12632645384437785,0.1861931271515372,0.11563571946726028,0.01791969965722992,0.12098108665581907,p141,2002-01-01,2002
0.1997882004098269,0.13171844407464933,0.1963072866746121,0.10698867999904012,0.00348091373521478,0.11935356203684472,p137,2002-01-01,2002
0.17071139539007033,0.10693380404819931,0.1555718258275552,0.09965901176779454,0.015139569562515137,0.10329640790799693,p199,2002-01-01,2002
0.1785314070948866,0.11822855589428959,0.18187093891727257,0.10237981443020408,-0.0033395318223859716,0.11030418516224683,p142,2002-01-01,2002
0.17321855833459984,0.04997271917257019,0.15783162857676974,0.08438920699830728,0.015386929757830098,0.06718096308543874,p135,2002-01-01,2002
0.1563842998986332,0.10467246181207669,0.17890608347171538,0.0984071170154737,-0.022521783573082182,0.1015397894137752,p171,2002-01-01,2002
0.1476513600076079,0.08456118834166254,0.1699798076593877,0.09375989545460664,-0.022328447651779798,0.08916054189813459,p136,2002-02-01,2002
0.2990676211718079,0.12073102875729701,0.2814821349746519,0.11833648825048369,0.017585486197155997,0.11953375850389035,p134,2002-02-01,2002
0.17016347110118338,0.1115857221823626,0.18422074635684435,0.08489779434997075,-0.014057275255660973,0.09824175826616667,p140,2002-06-01,2002
0.2668024176653295,0.13060380805727037,0.2489317870776339,0.11632276080128856,0.01787063058769564,0.12346328442927947,p138,2002-10-01,2002
0.1648334000859001,0.0502827589455552,0.14084943244884676,0.09120131184176486,0.02398396763705335,0.07074203539366003,p204,2003-02-01,2003
0.16285191141935332,0.05542335707945718,0.1533269644886871,0.08620339712423208,0.009524946930666217,0.07081337710184463,p103,2003-02-01,2003
0.15307271210116205,0.06434284967105572,0.14723130531367506,0.08485034490165091,0.005841406787486986,0.07459659728635332,p97,2003-02-01,2003
0.16028445309808567,0.05717753087620475,0.14037992140500644,0.09128782467075422,0.019904531693079236,0.07423267777347949,p106,2003-03-01,2003
0.3761749759780921,0.12268427642592858,0.4192910515022981,0.11877756141778036,-0.04311607552420604,0.12073091892185447,p102,2003-04-01,2003
0.15961283055099024,0.0935162055044316,0.19958293154520654,0.12073621381667657,-0.0399701009942163,0.10712620966055408,p101,2003-04-01,2003
0.14701409342285263,0.07938786783978603,0.1990181100402657,0.11605209973217961,-0.05200401661741308,0.09771998378598282,p104,2003-06-01,2003
0.14459877131732427,0.0768481042393621,0.19490861610888097,0.11540227987043421,-0.0503098447915567,0.09612519205489815,p100,2003-06-01,2003
0.14098631786627275,0.08052939495215958,0.19483617586334392,0.11226982222377678,-0.05384985799707118,0.09639960858796817,p99,2003-06-01,2003
0.2846008052005833,0.10927953822921227,0.18386244369371416,0.08709514828417107,0.10073836150686913,0.09818734325669168,p98,2003-06-01,2003
0.14308230659141175,0.08429823542148243,0.19675282520677193,0.11505745881385658,-0.05367051861536018,0.0996778471176695,p105,2003-09-01,2003
0.17237600342150022,0.10274949158536004,0.30769060820090705,0.1275565347996639,-0.13531460477940682,0.11515301319251196,p207,2004-01-01,2004
0.21308671748983307,0.10525663302750668,0.3770944814719267,0.13479542667176234,-0.16400776398209363,0.12002602984963451,p208,2004-01-01,2004
0.16896468878367138,0.08547655247842867,0.21156012199654634,0.13805308628257332,-0.042595433212874956,0.111764819380501,p210,2004-03-01,2004
0.16454268503585803,0.09170323688280085,0.21917725889900025,0.12992329948889692,-0.054634573863142216,0.11081326818584888,p214,2004-03-01,2004
0.22101113766419894,0.10471561962611409,0.20602029603088787,0.12828964961792863,0.014990841633311075,0.11650263462202136,p213,2004-04-01,2004
0.14407435066003169,0.08539753820956007,0.2592486325999878,0.1285086321074362,-0.11517428193995613,0.10695308515849813,p205,2004-04-01,2004
0.16426813587526357,0.09090780063503491,0.2134948956974888,0.12595462755942172,-0.04922675982222524,0.1084312140972283,p211,2004-05-01,2004
0.29780735193348645,0.12090168412387123,0.2261844236593963,0.16217162450021713,0.07162292827409014,0.14153665431204418,p203,2004-05-01,2004
0.24020295576554482,0.11591499349265803,0.215272057996489,0.14142708036245924,0.024930897769055826,0.12867103692755863,p209,2004-08-01,2004
0.15134276029644922,0.09048985281080686,0.21626803035161496,0.12721377318582008,-0.06492527005516574,0.10885181299831348,p206,2004-08-01,2004
0.14552189202953403,0.0882848112156592,0.22340990703464395,0.13673832588550977,-0.07788801500510992,0.11251156855058449,p31,2004-12-01,2004
0.14024332816682789,0.09258944437907476,0.23276678022424707,0.12903188425243148,-0.09252345205741919,0.11081066431575312,p212,2004-12-01,2004
0.3650975569624753,0.13109498498506056,0.27399429953851745,0.18155179457809972,0.09110325742395786,0.15632338978158014,p27,2005-01-01,2005
0.3297527613305617,0.1341991080301865,0.2954246294285595,0.17170946498622083,0.03432813190200218,0.15295428650820367,p21,2005-01-01,2005
0.21775198835499485,0.1022145889839678,0.2133374576781381,0.15547647757169614,0.004414530676856737,0.12884553327783196,p22,2005-01-01,2005
0.23137145888096108,0.11633695745613609,0.25294267714499374,0.1596319754487992,-0.02157121826403266,0.13798446645246765,p24,2005-06-01,2005
0.18614377752205186,0.10667921438363959,0.21823379984195646,0.12233767764289818,-0.0320900223199046,0.11450844601326889,p43,2005-07-01,2005
0.21259457666831047,0.10733777068320943,0.27470085699725594,0.16497405865481915,-0.06210628032894547,0.13615591466901428,p45,2005-10-01,2005
0.2541120254528608,0.13531113728657498,0.34590043281706506,0.1671973353238458,-0.09178840736420424,0.1512542363052104,p39,2005-10-01,2005
0.4998041230589639,0.1347731232049249,0.4248173091497288,0.17329443564881133,0.07498681390923506,0.15403377942686813,p40,2005-10-01,2005
0.39140779191231756,0.15874645637898893,0.462965044525073,0.1400984310275372,-0.07155725261275542,0.14942244370326307,p48,2005-10-01,2005
0.5123012648474732,0.1635427859320803,0.42028150792494645,0.13757657782365645,0.09201975692252673,0.1505596818778684,p44,2005-10-01,2005
0.27361792539204466,0.13419162260805617,0.19164159329843758,0.07666994840899652,0.08197633209360708,0.10543078550852635,p33,2005-11-01,2005
0.20992378907856035,0.1398440883657261,0.19814842956381024,0.12644933448469686,0.011775359514750117,0.13314671142521148,p42,2005-11-01,2005
0.20770969988056362,0.1351692683941466,0.19787158734297208,0.11966382004185405,0.009838112537591537,0.12741654421800033,p38,2005-11-01,2005
0.21402285184852526,0.12119332560494123,0.17987627559132616,0.09730276035993977,0.03414657625719911,0.10924804298244051,p30,2005-12-01,2005
0.2564495696986792,0.12946413968441065,0.1914939811570256,0.09169931190430045,0.06495558854165362,0.11058172579435555,p28,2006-01-01,2006
0.24021274635320186,0.14076976783962564,0.20789239197212708,0.08347880959352998,0.03232035438107478,0.11212428871657781,p34,2006-01-01,2006
0.20872398326559977,0.13529632129910835,0.21069708737889034,0.13911617921933303,-0.0019731041132905747,0.13720625025922067,p25,2006-01-01,2006
0.2157674756083053,0.12363420736874114,0.21934021031586245,0.08803828116477358,-0.003572734707557146,0.10583624426675736,p29,2006-01-01,2006
0.20100656548814494,0.13568314861308506,0.21066016112875982,0.13297673489682343,-0.009653595640614882,0.13432994175495425,p49,2006-01-01,2006
0.21967458137053122,0.1569811880346067,0.24640318767438052,0.16454948551294687,-0.026728606303849295,0.1607653367737768,p20,2006-02-01,2006
0.2500529317443559,0.12837646728656846,0.2349825664279319,0.09444656374447503,0.015070365316424,0.11141151551552175,p37,2006-03-01,2006
0.19688389656097563,0.13258116136961517,0.20743662118616035,0.1258896463189869,-0.010552724625184723,0.12923540384430104,p32,2006-04-01,2006
0.26553273740661054,0.12992671027351896,0.2720513505182389,0.10694647891131345,-0.00651861311162838,0.1184365945924162,p41,2006-04-01,2006
0.32091613283753556,0.13665987294944784,0.3325093837576166,0.15355758052611643,-0.01159325092008101,0.14510872673778213,p23,2006-04-01,2006
0.3078448826978112,0.14990608610025993,0.34442110433844586,0.13216564107178716,-0.036576221640634676,0.14103586358602355,p26,2006-04-01,2006
0.2769702855591214,0.14579541145803362,0.333371415254162,0.11786883214420049,-0.056401129695040575,0.13183212180111706,p47,2006-04-01,2006
0.24806846640641328,0.16135107145312758,0.16897638335672494,0.12844340602141305,0.07909208304968834,0.1448972387372703,p46,2006-05-01,2006
0.2180467189928135,0.15133723792648454,0.185954136193775,0.12628706842606913,0.03209258279903851,0.13881215317627682,p35,2006-05-01,2006
